"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",107.508,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",108.2033,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",102.6451,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",88.06653,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",91.68729,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",96.2412,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",99.02245,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",98.26614,,
"PRINTO01","Production of total industry sa, Index","CAN","Canada","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",100.0169,,
"PRMNTO01","Production in total manufacturing sa, Index","CAN","Canada","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",103.0733,,
"PRMNTO01","Production in total manufacturing sa, Index","CAN","Canada","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",103.5184,,
"PRMNTO01","Production in total manufacturing sa, Index","CAN","Canada","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",95.9567,,
"PRMNTO01","Production in total manufacturing sa, Index","CAN","Canada","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",75.77454,,
